RRE
PARAMETERS,
window_size, threshold_L, threshold_H, p_t_ini, min_packages, max_packages,
60,80000,100000,100000,1,20,
WINDOWS,
step, NOx_total_w, NOx_total_acum, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
0,0,0,0.8,100000,0,100000,0,1,0,0,
60,454.59762078585607,454.59762078585607,0.8537456976449606,85265.15488478143,454.59762078585607,96316.28872119535,0,0.0,12,0,
120,3534.4199646280235,3989.0175854138797,1.138973494774893,60262.10907288528,3534.4199646280235,90065.52726822131,0,0.18418556394023253,29,0,
180,18091.844226691937,22080.861812105817,1.1055098475906455,38555.59878631398,18091.844226691937,84115.93863990551,0,0.4967236365889345,43,0,
240,33121.79637853597,55202.658190641785,0.9020276102957687,39204.40119420228,33121.79637853597,79997.69014724359,0,0.7942030680047246,62,0,
300,38251.2612524624,93453.91944310418,0.9981740348367764,41521.397192540724,38251.2612524624,75014.1238337126,0,1,79,0,
360,49133.31317840492,142587.23262150912,0.9797964259154952,55382.039037987815,49133.31317840492,70195.95600047315,0,1,100,0,
420,62699.76220618254,205286.99482769164,1.060637189089105,79898.86243696256,62699.76220618254,64650.2212986712,0,1,116,0,
480,77516.08091441562,282803.07574210723,1.1154893404542052,117257.32709502682,77516.08091441562,58610.81723458335,0,1,134,0,
540,85771.20083159918,368574.2765737064,0.837543834709694,172876.94987707702,85771.20083159918,55072.922722196105,0,1,145,0,
600,89279.29046232265,457853.56703602907,0.8113389906088025,232948.03667748277,89279.29046232265,51770.87180671688,0,1,158,0,
660,98952.24512586193,556805.812161891,1.1343060415679478,291065.2643068986,98952.24512586193,45562.11743260535,0,1,176,0,
720,99475.88830099907,656281.7004628901,0.9731068271620213,355509.30683006486,99475.88830099907,40804.15598814716,0,1,199,0,
780,116176.65787536948,772458.3583382596,1.1049120329831768,431909.13151803997,116176.65787536948,34859.94769129857,0,1,213,0,
840,116335.32129658302,888793.6796348427,0.8008424213404444,519414.125646367,116335.32129658302,31652.36589923457,0,1,229,0,
