baseline;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; not_veh_enter_cz_all_steps; avg_total_time_all_steps;
6302;105.0;2072.0904573479343;916852738.419111;18821517.811093684;12327603.927065674;687197.8858102899;0.39034652196448155;222;804;2083.9610136452243;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
0;0;0;0.8;100000;0;100000;0;1;0;0;
60;457.5817688158486;457.5817688158486;0.8537456976449606;85265.15488478143;457.5817688158486;96316.28872119535;0;0.0;12;0;
120;3952.313507848202;4409.8952766640505;1.138973494774893;60262.10907288528;3952.313507848202;90065.52726822131;0;0.18418556394023253;29;0;
180;18240.404736137072;22650.300012801123;1.1055098475906455;38704.15929575911;18240.404736137072;84115.93863990551;0;0.4967236365889345;43;0;
240;32700.500291931075;55350.8003047322;0.9020276102957687;38931.66561704251;32700.500291931075;79997.69014724359;0;0.7942030680047246;62;0;
300;39130.02260328601;94480.8229080182;0.9981740348367764;42127.42296620457;39130.02260328601;75014.1238337126;0;1;80;0;
360;48939.10907606929;143419.9319840875;0.9797964259154952;55793.86070931603;48939.10907606929;70195.95600047315;0;1;100;0;
420;62281.167233157095;205701.0992172446;1.060637189089105;79892.08913526534;62281.167233157095;64650.2212986712;33.68360754752035;1;116;3;
480;72399.73194509995;278100.83116234455;1.1154893404542052;112134.2048240139;72399.73194509995;58610.81723458335;268.7117866256498;1;134;10;
540;75426.49102043967;353527.3221827842;0.837543834709694;157409.1177949046;75426.49102043967;55610.85642334631;4537.933701150204;1;145;25;
600;79891.33447975242;433418.6566625366;0.8113389906088025;208092.24861274014;79891.33447975242;65436.56586576719;17127.7603579001;1;159;48;
660;81354.08679883185;514772.7434613685;1.1343060415679478;248611.3179151259;81354.08679883185;90166.92548434692;34939.113992691266;1;177;57;
720;89378.02936359281;604150.7728249613;0.9731068271620213;302957.50150088593;89378.02936359281;121342.63228340232;39933.66824351359;0.49165372578265376;199;71;
780;106969.3337132594;711120.1065382208;1.1049120329831768;370150.002026751;106969.3337132594;156667.65159061144;45269.22760405771;0;213;78;
840;106817.85121681572;817937.9577550365;0.8008424213404444;448137.5260753107;106817.85121681572;193571.44176865974;44111.371970112305;0;230;76;
900;118206.3233007256;936144.2810557622;0.9781548776219205;531130.2737816472;118206.3233007256;230606.64219625096;45838.59432618851;0;248;74;
960;122936.1945451632;1059080.4756009255;1.088616012936313;614876.2918611031;122936.1945451632;264692.20964571973;43883.11156589559;0;266;68;
1020;137491.89601415873;1196572.3716150844;0.8915048885081811;720274.0118889674;137491.89601415873;288624.01959718694;31955.353948040876;0;284;60;
1080;148635.45714802985;1345207.8287631143;1.1781082782215688;826497.5710210206;148635.45714802985;297064.7793992428;19043.734306049948;0;300;36;
1140;159696.11770208774;1504903.9464652021;1.1605709830445934;944413.133333503;159696.11770208774;291622.6897262952;5003.049174453776;0;314;28;
1200;169821.48999160642;1674725.4364568086;0.8122359932134214;1084994.1275694263;169821.48999160642;284339.8951254444;27.32933807000684;0;329;4;
1260;186248.45678086742;1860973.893237676;0.8101783443973843;1242076.1639519879;186248.45678086742;277048.29002586793;0;0;351;0;
1320;195162.1252405649;2056136.0184782408;1.0165649891173987;1400641.9495843262;195162.1252405649;267899.2051238113;0;0;364;0;
1380;209961.03014757036;2266097.048625811;1.1756596651114042;1568279.231787886;209961.03014757036;257318.26813780869;0;0;376;0;
1440;223179.54528741253;2489276.5939132236;0.952481695075285;1757169.4360525883;223179.54528741253;248745.93288213114;0;0;386;0;
1500;229413.48403426725;2718690.077947491;0.8866397588522453;1954663.8887681747;229413.48403426725;240766.17505246092;0;0;367;0;
1560;230541.3170417212;2949231.394989212;0.9688466302330869;2150326.727121505;230541.3170417212;232046.55538036313;0;0;374;0;
1620;229315.9412955523;3178547.336284764;0.8116163150299472;2350424.481075979;229315.9412955523;224742.00854509362;0;0;373;0;
1680;246537.34512497074;3425084.6814097348;0.8886766665092141;2564969.4662066177;246537.34512497074;216743.9185465107;0;0;392;0;
1740;254283.02644050034;3679367.707850235;0.9751550374602288;2784146.9112985497;254283.02644050034;207967.52320936864;0;0;402;0;
1800;274020.34820871835;3953388.0560589535;0.9983248965527403;3022227.5632313695;274020.34820871835;198982.59914039398;0;0;419;0;
1860;291208.36331665097;4244596.419375604;0.8932337801030291;3281279.5104643116;291208.36331665097;190943.4951194667;0;0;435;0;
1920;289164.9633324884;4533761.382708092;0.8923466166163937;3538319.9955986096;289164.9633324884;182912.37556991915;0;0;450;0;
1980;299933.87998582073;4833695.262693913;0.8875124149350755;3806303.4286467675;299933.87998582073;174924.7638355035;0;0;464;0;
2040;314936.2025188458;5148631.465212759;0.9838413862950934;4085821.34125899;314936.2025188458;166070.19135884766;0;0;480;0;
