RREP
PARAMETERS,
window_size, threshold_L, threshold_H, alpha_ini, p_t_ini, min_packages, max_packages,
60,100000,110000,0.5,100000,1,20,
WINDOWS,
step, NOx_total_w, NOx_total_acum, alpha, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
0,0,0,0.5,0.8,100000,0,100000,0,1,0,0,
60,454.59762078585607,454.59762078585607,0.5,0.8537456976449606,89265.15488478143,454.59762078585607,97316.28872119535,0,1,12,0,
120,1377.2743119678446,1831.8719327537005,0.5694867473874465,1.138973494774893,68262.10907288527,1377.2743119678446,92065.52726822131,0,1,29,0,
180,2017.0983816655314,3848.9703144192317,0.6295732073091884,1.1055098475906455,48463.75455962204,2017.0983816655314,87115.93863990551,0,1,43,0,
240,2804.1938423855563,6653.164156804788,0.5678924156953499,0.9020276102957687,35990.76058897436,2804.1938423855563,83997.69014724359,0,1,62,0,
300,4189.576862673945,10842.741019478734,0.5668554639278313,0.9981740348367764,20056.495334850406,4189.576862673945,80014.1238337126,0,1,79,0,
360,5293.121092230571,16135.862111709304,0.555402957567159,0.9797964259154952,4783.824001892579,5293.121092230571,76195.95600047315,0,1,100,0,
420,6947.532242792709,23083.394354502016,0.589081031725807,1.060637189089105,0,6947.532242792709,71650.2212986712,42.45045713149039,1,116,3,
480,8204.490417929208,31287.88477243122,0.6571136115539031,1.1154893404542052,0,8204.490417929208,66610.81723458334,316.8642998695134,1,134,10,
540,8958.482085828375,40246.3668582596,0.5503614540607923,0.837543834709694,0,8958.482085828375,64072.9227221961,1012.7071459174243,1,145,24,
600,10089.529575132123,50335.896433391725,0.5,0.8113389906088025,0,10089.529575132123,61770.87180671687,1937.5125633098046,1,158,47,
660,11170.59014256177,61506.486575953495,0.5671530207839739,1.1343060415679478,0,11170.59014256177,56562.11743260534,3044.731731920683,1,176,57,
720,12678.241006129776,74184.72758208327,0.5519004765704488,0.9731068271620213,0,12678.241006129776,52804.15598814715,4330.524293376086,1,199,86,
780,14396.519564621709,88581.24714670498,0.6098014775718387,1.1049120329831768,0,14396.519564621709,48753.6649917936,5893.717300495048,1,213,100,
840,15746.658419808264,104327.90556651325,0.5,0.8008424213404444,0,15746.658419808264,48778.88104650684,7232.797846777231,1,229,119,
900,17498.66825364581,121826.57382015906,0.5,0.9781548776219205,0,17498.66825364581,48576.60396390904,8601.116815999485,1,247,134,
960,19382.962844713846,141209.5366648729,0.5443080064681565,1.088616012936313,0,19382.962844713846,47828.58091397383,9049.521066491601,1,266,139,
1020,20617.44804054851,161826.9847054214,0.5,0.8915048885081811,0,20617.44804054851,48708.05759537928,8903.020677979084,1,284,143,
1080,22314.07877266051,184141.06347808192,0.5890541391107844,1.1781082782215688,0,22314.07877266051,47029.652589818375,8924.569498433219,1,299,137,
1140,23883.923087642474,208024.9865657244,0.6836391412942897,1.1605709830445934,0,23883.923087642474,45382.534901873616,8798.021159456577,1,314,144,
1200,25431.8179867368,233456.8045524612,0.5552763169287379,0.8122359932134214,0,25431.8179867368,46416.98069289073,8344.5697299379,1,329,141,
1260,27484.69302639788,260941.49757885907,0.5,0.8101783443973843,0,27484.69302639788,48145.4432868401,9020.067693525834,1,351,130,
1320,29670.953037897987,290612.45061675704,0.5082824945586993,1.0165649891173987,0,29670.953037897987,47873.159341093255,8876.800956309746,1,364,130,
1380,29344.43104418747,319956.8816609445,0.5975672273348696,1.1756596651114042,0,29344.43104418747,46760.309392926996,9468.087037836383,1,376,124,
1440,30445.024673820968,350401.9063347655,0.5691718456133548,0.952481695075285,0,30445.024673820968,47805.47814119952,9617.504003950091,1,388,125,
1500,30415.33950892965,380817.2458436951,0.5046503879401123,0.8866397588522453,0,30415.33950892965,50712.68046520565,10886.96015367634,1,369,139,
1560,30280.154685832447,411097.4005295276,0.5,0.9688466302330869,0,30280.154685832447,54525.85943434499,12532.798641237116,1,366,139,
1620,28927.480562339904,440024.88109186746,0.5,0.8116163150299472,0,28927.480562339904,59912.21255838288,12690.899959307422,1,348,133,
1680,27631.73330796067,467656.61439982813,0.5,0.8886766665092141,0,27631.73330796067,63845.942499712786,11931.819939912833,1,356,154,
1740,26896.83474403258,494553.4491438607,0.5,0.9751550374602288,0,26896.83474403258,66767.16226542488,11697.615102854155,1,341,145,
1800,27235.017665401294,521788.466809262,0.5,0.9983248965527403,0,27235.017665401294,70172.52461470086,12390.286418250647,1,346,141,
1860,27878.09451313537,549666.5613223973,0.5,0.8932337801030291,0,27878.09451313537,73757.37753644849,11623.956942674893,1,350,148,
1920,28199.91008019161,577866.4714025889,0.5,0.8923466166163937,0,28199.91008019161,76574.27519264132,10848.017205740374,1,358,142,
1980,29771.898676998328,607638.3700795872,0.5,0.8875124149350755,0,29771.898676998328,79439.96455642744,10853.301098201808,1,355,147,
2040,28505.03359040979,636143.403669997,0.5,0.9838413862950934,0,28505.03359040979,81119.38766437383,10533.99558460224,1,359,147,
2100,29511.682094287014,665655.085764284,0.5,0.9159126458361943,0,29511.682094287014,82387.27460093128,9511.1007490832,1,374,152,
2160,29765.56758550708,695420.6533497911,0.5,0.8085958821063636,656.1158296779904,29765.56758550708,82702.62200809512,7592.710346121108,1,371,143,
2220,28996.761456353823,724417.4148061449,0.5675155951325146,1.1350311902650292,0,28996.761456353823,80378.3329043111,7890.991608601252,1,358,140,
2280,28050.506121455674,752467.9209276006,0.580331078539674,1.0225817290609733,0,28050.506121455674,78603.96865289824,7428.871310135907,1,354,138,
2340,27142.588169849725,779610.5090974503,0.6133622149839548,1.0569177451729783,0,27142.588169849725,76757.40478308024,7665.6958367388015,1,355,131,
2400,26814.52632051462,806425.0354179649,0.5363009235985959,0.8743625063578871,0,26814.52632051462,76525.97253191666,7637.8303060573935,1,353,121,
2460,27658.113132518392,834083.1485504833,0.6419615183435671,1.197017364870426,0,27658.113132518392,73345.87137484131,7593.055126758481,1,360,122,
2520,27234.760608164786,861317.9091586481,0.7343902464027353,1.1439786115181159,0,27234.760608164786,71294.47367945129,8244.409808273022,1,366,127,
2580,28487.825919801828,889805.73507845,0.6230243600699494,0.8483559839223226,0,28487.825919801828,73081.51565591506,9422.24583176468,1,359,139,
2640,28251.337413715664,918057.0724921656,0.5813303700388986,0.9330780741440516,0,28251.337413715664,75005.71513234539,10321.902143726787,1,357,135,
2700,26492.091079848557,944549.1635720142,0.6328326150861897,1.0885937630333073,0,26492.091079848557,74618.54552868177,9410.174263636149,1,354,133,
2760,27371.858205019445,971921.0217770337,0.6862922310465673,1.084476707878112,0,27371.858205019445,74191.1998078953,9332.944650116531,1,349,133,
2820,27571.240673188626,999492.2624502223,0.806102544660117,1.174576234719784,0,27571.240673188626,72190.42275990939,8570.409064492138,1,341,126,
2880,28576.507640151347,1028068.7700903736,0.7809866464431915,0.9688427999845661,0,28576.507640151347,72485.16526106157,9014.327701013286,1,346,125,
2940,29255.827698094774,1057324.5977884685,0.8840880341619397,1.1320142773097308,0,29255.827698094774,72510.43420206055,10213.397436786556,1,356,139,
3000,30677.637979923406,1088002.235768392,0.9443140795290803,1.0681222265656283,0,30677.637979923406,73194.38933630967,10297.05517333977,1,367,132,
3060,31912.945522746108,1119915.181291138,0.8700413260871547,0.9213474043731671,0,31912.945522746108,74069.01771232756,9166.755015376402,1,374,136,
3120,31986.191217926167,1151901.3725090642,0.9005208247706185,1.0350322424574239,0,31986.191217926167,73430.5443150039,8676.816784793155,1,374,118,
3180,32331.497088891374,1184232.8695979556,1,1.1529916003327432,0,32331.497088891374,72826.76574782524,9773.14583581601,1,372,124,
3240,31988.150924343186,1216221.0205222988,1,1.1384789673713251,0,31988.150924343186,73861.83295143089,11281.377909947574,1,381,133,
3300,32754.574832845454,1248975.5953551442,1,1.00211352823184,0,32754.574832845454,77617.0476263437,12774.236428999377,1,391,132,
3360,33108.75359653412,1282084.3489516783,1,1.0356009031930207,0,33108.75359653412,81769.08046333378,13472.440965727263,1,400,141,
3420,34353.42601799117,1316437.7749696695,0.8138103320605367,0.8138103320605367,5056.254063811852,34353.42601799117,87662.86544815135,13218.077973362391,1,403,153,
3480,34385.149916702576,1350822.9248863722,0.7300659850378093,0.8970959894172271,7145.948361494251,34385.149916702576,92768.93251441943,13179.930971023114,1,396,156,
3540,34514.44744988662,1385337.3723362589,0.8169158750158735,1.118961699021721,1377.7746465989112,34514.44744988662,95660.38658353368,12962.109360309736,1,406,145,
3600,36179.32675969051,1421516.6990959493,0.7889165733207459,0.9657255997203097,2790.9798163582745,36179.32675969051,100287.75771230547,13318.901526254573,1,414,160,
3660,33976.833497698564,1455493.532593648,0.6857286212217452,0.8692029606316204,5476.506731318506,33976.833497698564,104225.04206384903,11760.110997228157,0.9712242287694535,375,154,
3720,32494.140268209507,1487987.6728618573,0.699113704167356,1.0195195045552612,1267.944835538612,32494.140268209507,105266.74106032471,10217.374537473033,0.5774957936150967,370,145,
3780,32203.274082118205,1520190.9469439755,0.7558931358732226,1.0812163048262526,0,32203.274082118205,105559.0599178957,10023.265601007266,0.47332589396752883,369,154,
3840,31709.15412227506,1551900.1010662506,0.8086501925067617,1.069794332200931,0,31709.15412227506,106220.84051952015,10289.92959143283,0.44409400821042944,349,157,
3900,28747.892889465555,1580647.993955716,0.768121621870016,0.9498812082006561,0,28747.892889465555,106869.70539061699,9197.79574490274,0.3779159480479852,328,156,
3960,27189.868209748325,1607837.8621654643,0.7493676651794271,0.9755846520178253,0,27189.868209748325,106229.34878000639,8139.905257549814,0.31302946093830103,311,157,
4020,26135.414958584082,1633973.2771240484,0.7518934803096474,1.0033705952999927,0,26135.414958584082,104415.8289141438,7216.815491837342,0.37706512199936115,295,132,
4080,25267.718054399425,1659240.9951784478,0.8356371550532389,1.1113770460000583,0,25267.718054399425,101302.72144225774,6889.285942114474,0.55841710858562,290,133,
4140,22879.311246792913,1682120.3064252408,0.8426359229434649,1.008375367045258,0,22879.311246792913,98105.283944666,5877.940805815586,0.8697278557742262,262,113,
