noControl;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; not_veh_enter_cz_all_steps; avg_total_time_all_steps;
10157;169.0;1174.052668052668;1283872767.2855432;20487776.15998564;478897221.13792306;6767473.267080803;1.0;266;0;1177.172932330827;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
0;0;0;0.8;100000;0;100000;0;1;0;0;
60;0;0;0.8537456976449606;85265.15488478143;0;96316.28872119535;0;1;0;0;
120;3281.608622905961;3281.608622905961;1.138973494774893;60262.10907288528;3281.608622905961;90065.52726822131;0;1;2;0;
180;15613.70241503375;18895.31103793971;1.1055098475906455;36463.75455962204;15613.70241503375;84115.93863990551;0;1;5;0;
240;29342.81429950347;48238.12533744318;0.9020276102957687;33333.57488847783;29342.81429950347;79997.69014724359;0;1;8;0;
300;34040.800449338356;82278.92578678153;0.9981740348367764;31440.11008369224;34040.800449338356;75014.1238337126;0;1;9;0;
360;44363.73987189009;126642.66565867161;0.9797964259154952;40531.178622624495;44363.73987189009;70195.95600047315;0;1;13;0;
420;50754.80147613887;177397.4671348105;1.060637189089105;53103.04129155558;50754.80147613887;64650.2212986712;0;1;14;0;
480;60548.19179088118;237945.65892569168;1.1154893404542052;73493.61682608537;60548.19179088118;58610.81723458335;0;1;16;0;
540;61829.76870742336;299775.42763311503;0.837543834709694;105171.80748395974;61829.76870742336;56481.44218629557;5408.519464099466;1;17;3;
600;66676.6895699261;366452.1172030411;0.8113389906088025;142640.29339196894;66676.6895699261;69531.43771746251;20352.046446646167;1;17;6;
660;64135.0828047504;430587.2000077915;1.1343060415679478;165940.3587002732;64135.0828047504;85194.6831930374;25871.99984968641;1;17;8;
720;65855.05429179846;496442.25429958996;0.9731068271620213;196763.56721423886;65855.05429179846;109531.14761666722;33094.425868088016;1;18;9;
780;72892.6490547001;569334.90335429;1.1049120329831768;229879.3830815446;72892.6490547001;144941.87623284757;45354.93691302894;1;19;14;
840;76942.89136899295;646277.794723283;0.8008424213404444;277991.94728228153;76942.89136899295;193782.9563525991;56048.66191181556;1;20;15;
900;81931.72027948132;728209.5150027643;0.9781548776219205;324710.09196737374;81931.72027948132;240921.482429986;55941.91997598418;1;22;16;
960;84788.91998663102;812998.4349893953;1.088616012936313;370308.8354882975;84788.91998663102;279788.26000363857;48664.32169007943;1;22;16;
1020;93801.33552310141;906799.7705124967;0.8915048885081811;432015.9950251044;93801.33552310141;314320.54940014135;42555.833393076464;1;24;11;
1080;96448.11814310064;1003247.8886555973;1.1781082782215688;486052.21515222854;96448.11814310064;341631.950080037;37914.37518388976;1;26;11;
1140;103299.72460488843;1106547.6132604857;1.1605709830445934;547571.3843675116;103299.72460488843;358367.1913082447;27180.380075609086;1;28;10;
1200;110893.0272624727;1217440.6405229585;0.8122359932134214;629223.9158743011;110893.0272624727;376361.08558576566;25304.018216441706;1;30;8;
1260;120126.6681358375;1337567.308658796;0.8101783443973843;720184.1636118328;120126.6681358375;391835.4203262238;22765.939840034564;1;31;7;
1320;124219.22120202931;1461786.5298608253;1.0165649891173987;807807.0452056357;124219.22120202931;405508.8959887309;22822.560564563722;1;32;7;
1380;120823.05020576356;1582609.580066589;1.1756596651114042;886306.3474673887;120823.05020576356;416409.024792887;21481.065790158766;1;31;7;
1440;132324.9097448376;1714934.4898114265;0.952481695075285;984341.916189516;132324.9097448376;436465.03398922685;28628.344452017438;1;37;7;
1500;143256.92733771846;1858191.417149145;0.8866397588522453;1095679.8122085535;143256.92733771846;456630.1845976398;28144.908438083137;1;34;9;
1560;142499.71300967238;2000691.1301588174;0.9688466302330869;1203301.0465298349;142499.71300967238;483658.41058760573;35747.845662063715;1;37;11;
1620;143555.08711068847;2144246.217269506;0.8116163150299472;1317637.9462994451;143555.08711068847;515891.5456056085;39537.68185327228;1;37;12;
1680;149196.71084546857;2293442.9281149744;0.8886766665092141;1434842.297150582;149196.71084546857;550046.1478138148;42152.69220678922;1;38;13;
1740;145588.8366839211;2439031.7647988955;0.9751550374602288;1545325.552485935;145588.8366839211;593600.1301560428;52330.377679369936;1;38;14;
1800;149613.73291274355;2588645.497711639;0.9983248965527403;1658999.5891227797;149613.73291274355;642995.3953784375;58380.189291369345;1;39;17;
1860;158559.81089243028;2747205.308604069;0.8932337801030291;1785402.983931501;158559.81089243028;709875.695316644;74919.40395913384;1;40;22;
1920;150011.35833740083;2897216.66694147;0.8923466166163937;1903289.8640707117;150011.35833740083;783142.3508116851;81297.77504458863;1;38;23;
1980;148286.09031009572;3045502.757251566;0.8875124149350755;2019625.5074431447;148286.09031009572;848092.4301321198;72937.69105485038;1;37;23;
2040;141507.29425001898;3187010.0515015847;0.9838413862950934;2125714.5117865405;141507.29425001898;911726.8869522758;72489.02929681184;1;37;23;
