RRE;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; not_veh_enter_cz_all_steps; avg_total_time_all_steps;
10450;174.0;1410.2054747054747;2100011320.8103569;29411025.624723602;23641631.679665584;1469360.695670429;0.23498260294288364;58;208;1410.139097744361;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
0;0;0;0.8;100000;0;100000;0;1;0;0;
60;0;0;0.8537456976449606;85265.15488478143;0;96316.28872119535;0;0.0;0;0;
120;3281.608622905961;3281.608622905961;1.138973494774893;60262.10907288528;3281.608622905961;90065.52726822131;0;0.18418556394023253;2;0;
180;15613.70241503375;18895.31103793971;1.1055098475906455;36463.75455962204;15613.70241503375;84115.93863990551;0;0.4967236365889345;5;0;
240;29342.81429950347;48238.12533744318;0.9020276102957687;33333.57488847783;29342.81429950347;79997.69014724359;0;0.7942030680047246;8;0;
300;34040.800449338356;82278.92578678153;0.9981740348367764;31440.11008369224;34040.800449338356;75014.1238337126;0;1;9;0;
360;44363.73987189009;126642.66565867161;0.9797964259154952;40531.178622624495;44363.73987189009;70195.95600047315;0;1;13;0;
420;50754.80147613887;177397.4671348105;1.060637189089105;53103.04129155558;50754.80147613887;64650.2212986712;0;1;14;0;
480;60548.19179088118;237945.65892569168;1.1154893404542052;73493.61682608537;60548.19179088118;58610.81723458335;0;1;16;0;
540;61829.76870742336;299775.42763311503;0.837543834709694;105171.80748395974;61829.76870742336;56481.44218629557;5408.519464099466;1;17;3;
600;66676.6895699261;366452.1172030411;0.8113389906088025;142640.29339196894;66676.6895699261;69531.43771746251;20352.046446646167;1;17;6;
660;64135.0828047504;430587.2000077915;1.1343060415679478;165940.3587002732;64135.0828047504;85194.6831930374;25871.99984968641;1;17;8;
720;73521.49292287599;504108.6929306675;0.9731068271620213;204430.0058453164;73521.49292287599;107748.54563094757;31311.823882368364;0.7402658403481298;18;8;
780;82931.03519677586;587039.7281274433;1.1049120329831768;247584.2078546979;82931.03519677586;127386.0477921031;29581.710458004112;0;19;8;
840;86218.89343882116;673258.6215662645;0.8008424213404444;304972.77412526304;86218.89343882116;151533.40361001412;31354.937609975048;0;20;8;
900;94497.75605410313;767756.3776203677;0.9781548776219205;364256.954584977;94497.75605410313;169552.6801840953;26822.670472678463;0;22;8;
960;101179.92564580604;868936.3032661737;1.088616012936313;426246.70376507577;101179.92564580604;176830.4074419126;17075.27137424411;0;22;7;
1020;108834.00202325292;977770.3052894266;0.8915048885081811;502986.52980203414;108834.00202325292;176201.53899551032;7394.675550171351;0;24;2;
1080;114694.92507255162;1092465.2303619783;1.1781082782215688;575269.5568586092;114694.92507255162;169575.60810178518;3977.04361026899;0;26;2;
1140;126524.1632501871;1218989.3936121655;1.1605709830445934;660013.1647191909;126524.1632501871;159130.46925438385;0;0;28;0;
1200;130651.47143804767;1349640.8650502132;0.8122359932134214;761424.1404015555;130651.47143804767;151820.34531546306;0;0;30;0;
1260;144672.57416845087;1494313.439218664;0.8101783443973843;876930.2941717005;144672.57416845087;144528.7402158866;0;0;31;0;
1320;149062.2613832213;1643375.7006018853;1.0165649891173987;989396.2159466954;149062.2613832213;135379.65531383;0;0;33;0;
1380;145306.11396223254;1788681.814564118;1.1756596651114042;1092378.5819649172;145306.11396223254;124798.71832782737;0;0;31;0;
1440;157577.75029231852;1946259.5648564366;0.952481695075285;1215666.9912345256;157577.75029231852;116226.38307214981;0;0;37;0;
1500;175747.64009094166;2122007.204947378;0.8866397588522453;1359495.6000067864;175747.64009094166;108246.6252424796;0;0;38;0;
1560;182904.2195307978;2304911.424478176;0.9688466302330869;1507521.340849193;182904.2195307978;99527.00557038182;0;0;41;0;
1620;192258.4504341736;2497169.8749123495;0.8116163150299472;1670561.6039422886;192258.4504341736;92222.45873511229;0;0.02364972148090892;43;0;
1680;205570.92557913446;2702740.800491484;0.8886766665092141;1844140.1695270913;205570.92557913446;84224.36873652936;0;0.3888770632443855;46;0;
1740;215922.607163802;2918663.4076552857;0.9751550374602288;2024957.1953423251;215922.607163802;75447.9733993873;0;0.7887815631735321;46;0;
1800;203965.27772500325;3122628.685380289;0.9983248965527403;2192982.7767914296;203965.27772500325;68636.87077008652;2173.8214396738886;1;44;2;
1860;203998.61241771607;3326627.297798005;0.8932337801030291;2364824.973125437;203998.61241771607;83145.44859788561;22547.68184872635;1;45;8;
1920;198043.89804258387;3524671.195840589;0.8923466166163937;2530744.3929698304;198043.89804258387;108117.24447866464;33002.915430326575;0.8427275701057195;42;9;
1980;191913.25075717462;3716584.4465977633;0.8875124149350755;2690707.1967893424;191913.25075717462;136730.27043814334;36600.63769389437;0;41;9;
2040;191445.40349531538;3908029.850093079;0.9838413862950934;2846734.3103780346;191445.40349531538;162720.13549913914;34844.437537651655;0;42;9;
